year,month,HPI
2016,11,232.39
2016,12,233.82
2017,1,234.1
2017,2,235.31
2017,3,236.74
2017,4,238.53
2017,5,239.66
2017,6,240.59
2017,7,241.81
2017,8,243.39
2017,9,244.51
2017,10,245.49
2017,11,247.11
2017,12,248.26
2018,1,250.13
2018,2,251.77
2018,3,252.65
2018,4,253.34
2018,5,254.51
2018,6,255.6
2018,7,256.62
2018,8,257.89
2018,9,258.34
2018,10,259.22
2018,11,260.77
2018,12,261.55
2019,1,263.03
2019,2,263.69
2019,3,264.59
2019,4,265.85
2019,5,267.01
2019,6,267.98
2019,7,269.05
2019,8,270.13
2019,9,271.67
2019,10,273.12
2019,11,274.75
2019,12,277.05
2020,1,278.76
2020,2,280.64
2020,3,281.17
2020,4,281.51
2020,5,280.47
2020,6,283.54
2020,7,287.58
2020,8,292.62
2020,9,297.31
2020,10,301.91
2020,11,305.53
2020,12,309.58
2021,1,313.28
2021,2,315.99
2021,3,320.6
2021,4,325.37
2021,5,330.77
2021,6,336.76
2021,7,341.85
2021,8,345.94
2021,9,349.48
2021,10,353.92
2021,11,358.85
2021,12,363.89
2022,1,369.29
2022,2,374.48
2022,3,379.09
2022,4,383.76
2022,5,387.29
2022,6,388.18
2022,7,386.36
2022,8,384.78
2022,9,385.63
2022,10,386.28
2022,11,386.26
2022,12,386.47
2023,1,387.76
2023,2,390.24
2023,3,392.19
2023,4,394.42
2023,5,397.48
2023,6,399.91
2023,7,403.34
2023,8,406.08
2023,9,408.16
2023,10,409.84
2023,11,411.1
2023,12,412.49
2024,1,412.84
2024,2,417.32
2024,3,418.1
2024,4,419.94
2024,5,420.58
2024,6,421.41
2024,7,422.66
2024,8,424.25
2024,9,426.98
2024,10,429.08
2024,11,430.66
2024,12,432.72
2025,1,434.45
2025,2,434.59
2025,3,434.92
2025,4,433.81
2025,5,433.89
2025,6,433.56
2025,7,433.45
2025,8,435.3
2025,9,435.04
2025,10,436.78
2025,11,439.72
2025,12,440.36
