year,month,state,EHE
2007,11,AL,2028.3
2007,12,AL,2032.5
2008,1,AL,2028.7
2008,2,AL,2028.4
2008,3,AL,2023.5
2008,4,AL,2025.7
2008,5,AL,2021.1
2008,6,AL,2016.6
2008,7,AL,2014.8
2008,8,AL,2010.0
2008,9,AL,2005.0
2008,10,AL,1994.8
2008,11,AL,1979.0
2008,12,AL,1970.9
2009,1,AL,1947.6
2009,2,AL,1933.5
2009,3,AL,1921.7
2009,4,AL,1914.8
2009,5,AL,1908.7
2009,6,AL,1901.1
2009,7,AL,1899.1
2009,8,AL,1892.4
2009,9,AL,1887.3
2009,10,AL,1883.1
2009,11,AL,1884.9
2009,12,AL,1883.2
2010,1,AL,1881.6
2010,2,AL,1878.7
2010,3,AL,1882.5
2010,4,AL,1886.4
2010,5,AL,1898.0
2010,6,AL,1896.3
2010,7,AL,1896.1
2010,8,AL,1892.1
2010,9,AL,1887.7
2010,10,AL,1894.5
2010,11,AL,1892.5
2010,12,AL,1890.8
2011,1,AL,1885.8
2011,2,AL,1888.7
2011,3,AL,1889.8
2011,4,AL,1889.3
2011,5,AL,1887.9
2011,6,AL,1884.1
2011,7,AL,1891.1
2011,8,AL,1891.3
2011,9,AL,1895.6
2011,10,AL,1891.8
2011,11,AL,1893.4
2011,12,AL,1892.4
2012,1,AL,1898.7
2012,2,AL,1898.8
2012,3,AL,1905.2
2012,4,AL,1906.0
2012,5,AL,1902.9
2012,6,AL,1904.0
2012,7,AL,1901.6
2012,8,AL,1906.3
2012,9,AL,1908.4
2012,10,AL,1911.7
2012,11,AL,1913.2
2012,12,AL,1912.8
2013,1,AL,1914.0
2013,2,AL,1918.6
2013,3,AL,1921.1
2013,4,AL,1921.9
2013,5,AL,1924.2
2013,6,AL,1924.9
2013,7,AL,1924.6
2013,8,AL,1926.0
2013,9,AL,1925.0
2013,10,AL,1927.1
2013,11,AL,1929.0
2013,12,AL,1933.1
2014,1,AL,1930.9
2014,2,AL,1929.3
2014,3,AL,1933.6
2014,4,AL,1938.9
2014,5,AL,1939.4
2014,6,AL,1942.7
2014,7,AL,1943.8
2014,8,AL,1947.4
2014,9,AL,1951.3
2014,10,AL,1954.0
2014,11,AL,1955.5
2014,12,AL,1960.1
2015,1,AL,1958.7
2015,2,AL,1960.6
2015,3,AL,1958.1
2015,4,AL,1962.5
2015,5,AL,1969.1
2015,6,AL,1969.3
2015,7,AL,1970.6
2015,8,AL,1975.1
2015,9,AL,1976.8
2015,10,AL,1980.1
2015,11,AL,1983.6
2015,12,AL,1986.6
2016,1,AL,1988.6
2016,2,AL,1988.9
2016,3,AL,1990.2
2016,4,AL,1995.5
2016,5,AL,1994.8
2016,6,AL,1993.6
2016,7,AL,1999.7
2016,8,AL,1999.8
2016,9,AL,2005.6
2016,10,AL,2002.3
2016,11,AL,2000.5
2016,12,AL,2003.5
2017,1,AL,2009.3
2017,2,AL,2012.3
2017,3,AL,2016.0
2017,4,AL,2012.5
2017,5,AL,2016.3
2017,6,AL,2018.6
2017,7,AL,2018.8
2017,8,AL,2021.1
2017,9,AL,2022.8
2017,10,AL,2026.8
2017,11,AL,2023.9
2017,12,AL,2025.0
2018,1,AL,2028.4
2018,2,AL,2031.6
2018,3,AL,2035.9
2018,4,AL,2039.1
2018,5,AL,2040.5
2018,6,AL,2048.4
2018,7,AL,2048.1
2018,8,AL,2051.0
2018,9,AL,2054.0
2018,10,AL,2056.9
2018,11,AL,2058.9
2018,12,AL,2059.8
2019,1,AL,2066.5
2019,2,AL,2067.5
2019,3,AL,2070.4
2019,4,AL,2075.8
2019,5,AL,2077.3
2019,6,AL,2078.3
2019,7,AL,2080.3
2019,8,AL,2083.6
2019,9,AL,2082.8
2019,10,AL,2080.2
2019,11,AL,2083.7
2019,12,AL,2084.2
2020,1,AL,2088.1
2020,2,AL,2087.7
2020,3,AL,2080.9
2020,4,AL,1843.4
2020,5,AL,1892.0
2020,6,AL,1940.8
2020,7,AL,1961.4
2020,8,AL,1986.6
2020,9,AL,1996.1
2020,10,AL,2012.7
2020,11,AL,2016.6
2020,12,AL,2023.5
2021,1,AL,2024.6
2021,2,AL,2027.0
2021,3,AL,2032.6
2021,4,AL,2031.1
2021,5,AL,2036.4
2021,6,AL,2043.2
2021,7,AL,2052.9
2021,8,AL,2055.3
2021,9,AL,2055.1
2021,10,AL,2071.1
2021,11,AL,2077.7
2021,12,AL,2082.6
2022,1,AL,2084.4
2022,2,AL,2093.5
2022,3,AL,2093.6
