year,month,PPI
1936,12,14.5
1936,13,13.9
1937,1,14.8
1937,2,14.9
1937,3,15.1
1937,4,15.2
1937,5,15.1
1937,6,15.0
1937,7,15.2
1937,8,15.1
1937,9,15.1
1937,10,14.7
1937,11,14.4
1937,12,14.1
1937,13,14.9
1938,1,14.0
1938,2,13.8
1938,3,13.7
1938,4,13.5
1938,5,13.5
1938,6,13.5
1938,7,13.6
1938,8,13.4
1938,9,13.5
1938,10,13.4
1938,11,13.4
1938,12,13.3
1938,13,13.5
1939,1,13.3
1939,2,13.3
1939,3,13.2
1939,4,13.1
1939,5,13.1
1939,6,13.0
1939,7,13.0
1939,8,12.9
1939,9,13.6
1939,10,13.7
1939,11,13.6
1939,12,13.7
1939,13,13.3
1940,1,13.7
1940,2,13.6
1940,3,13.5
1940,4,13.5
1940,5,13.5
1940,6,13.4
1940,7,13.4
1940,8,13.4
1940,9,13.4
1940,10,13.6
1940,11,13.7
1940,12,13.8
1940,13,13.5
1941,1,13.9
1941,2,13.9
1941,3,14.0
1941,4,14.4
1941,5,14.6
1941,6,15.0
1941,7,15.3
1941,8,15.6
1941,9,15.8
1941,10,15.9
1941,11,15.9
1941,12,16.2
1941,13,15.1
1942,1,16.5
1942,2,16.7
1942,3,16.8
1942,4,17.0
1942,5,17.0
1942,6,17.0
1942,7,17.0
1942,8,17.1
1942,9,17.2
1942,10,17.2
1942,11,17.3
1942,12,17.4
1942,13,17.0
1943,1,17.5
1943,2,17.7
1943,3,17.8
1943,4,17.9
1943,5,17.9
1943,6,17.9
1943,7,17.8
1943,8,17.8
1943,9,17.8
1943,10,17.8
1943,11,17.7
1943,12,17.8
1943,13,17.8
1944,1,17.8
1944,2,17.8
1944,3,17.9
1944,4,17.9
1944,5,17.9
1944,6,18.0
1944,7,17.9
1944,8,17.9
1944,9,17.9
1944,10,17.9
1944,11,18.0
1944,12,18.0
1944,13,17.9
1945,1,18.1
1945,2,18.1
1945,3,18.1
1945,4,18.2
1945,5,18.3
1945,6,18.3
1945,7,18.3
1945,8,18.2
1945,9,18.1
1945,10,18.2
1945,11,18.4
1945,12,18.4
1945,13,18.2
1946,1,18.4
1946,2,18.5
1946,3,18.8
1946,4,19.0
1946,5,19.1
1946,6,19.4
1946,7,21.5
1946,8,22.2
1946,9,21.4
1946,10,23.1
1946,11,24.1
1946,12,24.3
1946,13,20.8
1947,1,24.5
1947,2,24.7
1947,3,25.3
1947,4,25.1
1947,5,25.0
1947,6,25.0
1947,7,25.3
1947,8,25.6
1947,9,26.1
1947,10,26.4
1947,11,26.7
1947,12,27.2
1947,13,25.6
1948,1,27.7
1948,2,27.2
1948,3,27.2
1948,4,27.4
1948,5,27.5
1948,6,27.7
1948,7,28.0
1948,8,28.2
1948,9,28.1
1948,10,27.8
1948,11,27.8
1948,12,27.6
1948,13,27.7
1949,1,27.3
1949,2,26.8
1949,3,26.8
1949,4,26.5
1949,5,26.3
1949,6,26.0
1949,7,26.0
1949,8,26.0
1949,9,26.1
1949,10,26.0
1949,11,26.0
1949,12,25.9
1949,13,26.3
1950,1,25.9
1950,2,26.1
1950,3,26.1
1950,4,26.1
1950,5,26.4
1950,6,26.6
1950,7,27.3
1950,8,27.9
1950,9,28.4
1950,10,28.6
1950,11,29.0
1950,12,29.7
1950,13,27.3
1951,1,30.5
1951,2,30.9
1951,3,30.9
1951,4,30.8
1951,5,30.7
1951,6,30.5
1951,7,30.3
1951,8,30.1
1951,9,30.1
1951,10,30.1
1951,11,30.1
1951,12,30.1
1951,13,30.4
1952,1,30.0
1952,2,29.8
1952,3,29.8
1952,4,29.6
1952,5,29.6
1952,6,29.5
1952,7,29.6
1952,8,29.8
1952,9,29.6
1952,10,29.5
1952,11,29.3
1952,12,29.1
1952,13,29.6
1953,1,29.1
1953,2,29.1
1953,3,29.2
1953,4,29.0
1953,5,29.1
1953,6,29.0
1953,7,29.4
1953,8,29.3
1953,9,29.4
1953,10,29.2
1953,11,29.1
1953,12,29.2
1953,13,29.2
1954,1,29.4
1954,2,29.3
1954,3,29.3
1954,4,29.4
1954,5,29.4
1954,6,29.2
1954,7,29.3
1954,8,29.3
1954,9,29.2
1954,10,29.1
1954,11,29.2
1954,12,29.0
1954,13,29.3
1955,1,29.2
1955,2,29.3
1955,3,29.2
1955,4,29.3
1955,5,29.1
1955,6,29.3
1955,7,29.3
1955,8,29.4
1955,9,29.6
1955,10,29.6
1955,11,29.5
1955,12,29.5
1955,13,29.3
1956,1,29.7
1956,2,29.8
1956,3,29.9
1956,4,30.1
1956,5,30.3
1956,6,30.3
1956,7,30.2
1956,8,30.4
1956,9,30.6
1956,10,30.6
1956,11,30.7
1956,12,30.8
1956,13,30.3
1957,1,31.0
1957,2,31.0
1957,3,31.0
1957,4,31.1
1957,5,31.0
1957,6,31.1
1957,7,31.3
1957,8,31.4
1957,9,31.3
1957,10,31.2
1957,11,31.3
1957,12,31.4
1957,13,31.2
1958,1,31.5
1958,2,31.5
1958,3,31.7
1958,4,31.6
1958,5,31.7
1958,6,31.6
1958,7,31.6
1958,8,31.6
1958,9,31.6
1958,10,31.5
1958,11,31.6
1958,12,31.6
1958,13,31.6
1959,1,31.7
1959,2,31.7
1959,3,31.7
1959,4,31.8
1959,5,31.8
1959,6,31.7
1959,7,31.7
1959,8,31.6
1959,9,31.7
1959,10,31.6
1959,11,31.5
1959,12,31.5
1959,13,31.7
1960,1,31.6
1960,2,31.6
1960,3,31.8
1960,4,31.8
1960,5,31.7
1960,6,31.7
1960,7,31.7
1960,8,31.6
1960,9,31.6
1960,10,31.7
1960,11,31.7
1960,12,31.7
1960,13,31.7
1961,1,31.8
1961,2,31.8
1961,3,31.8
1961,4,31.6
1961,5,31.5
1961,6,31.3
1961,7,31.5
1961,8,31.5
1961,9,31.5
1961,10,31.5
1961,11,31.5
1961,12,31.6
1961,13,31.6
1962,1,31.7
1962,2,31.7
1962,3,31.7
1962,4,31.6
1962,5,31.5
1962,6,31.5
1962,7,31.6
1962,8,31.6
1962,9,31.9
1962,10,31.7
1962,11,31.7
1962,12,31.6
1962,13,31.7
1963,1,31.6
1963,2,31.5
1963,3,31.5
1963,4,31.4
1963,5,31.5
1963,6,31.6
1963,7,31.7
1963,8,31.6
1963,9,31.6
1963,10,31.6
1963,11,31.7
1963,12,31.6
1963,13,31.6
1964,1,31.8
1964,2,31.6
1964,3,31.6
1964,4,31.6
1964,5,31.5
1964,6,31.5
1964,7,31.6
1964,8,31.6
1964,9,31.7
1964,10,31.7
1964,11,31.7
1964,12,31.7
1964,13,31.6
1965,1,31.8
1965,2,31.9
1965,3,31.9
1965,4,32.0
1965,5,32.1
1965,6,32.4
1965,7,32.4
