year,state,GDP
1992,TX,413841.8832552129
1992,UT,36047.827801810956
1992,VA,156639.31090499973
1992,VT,12458.457675974778
1992,WA,134331.38917501856
1992,WI,111650.83124497114
1992,WV,30495.08163318077
1992,WY,13137.812826958354
1993,AK,23662.0012732846
1993,AL,85506.98850678385
1993,AR,47178.65087640896
1993,AZ,89291.11764173975
1993,CA,816210.1424800545
1993,CO,96191.54973650895
1993,CT,106418.80948982213
1993,DC,46249.29313113292
1993,DE,23250.81432050368
1993,FL,303952.2287433514
1993,GA,171814.17526150824
1993,HI,36777.55528880627
1993,IA,62657.195683521946
1993,ID,23264.893689172233
1993,IL,315841.9368136794
1993,IN,130750.65319891834
1993,KS,58538.29310913638
1993,KY,81654.67052494014
1993,LA,94599.31942669222
1993,MA,172948.83512431182
1993,MD,123960.35353428805
1993,ME,25082.3889453125
1993,MI,224147.4775137631
1993,MN,118045.95562290889
1993,MO,118597.03898218021
1993,MS,47408.215357760164
1993,MT,16157.549890499531
1993,NC,169597.9972948315
1993,ND,13071.839266916102
1993,NE,38789.203438395416
1993,NH,27164.266796875
1993,NJ,239601.79720947592
1993,NM,36884.137919488625
1993,NV,40174.34798174915
1993,NY,541156.0425108818
1993,OH,259652.5903581203
1993,OK,65042.36529312394
1993,OR,69841.60972120249
1993,PA,283189.62919274566
1993,PR,36922.456
1993,RI,23421.41140621783
1993,SC,75582.37097641452
1993,SD,16023.714259616889
1993,TN,119311.3673713715
1993,TX,441047.64816026407
1993,UT,39114.75860377953
1993,VA,165208.7097744361
1993,VT,12944.355411143997
1993,WA,142354.17053328385
1993,WI,118620.36052602783
1993,WV,31970.197222868665
1993,WY,13747.900197024255
1994,AK,23988.21250884225
1994,AL,91103.7764800706
1994,AR,50997.29877352401
1994,AZ,100364.01614974228
1994,CA,850690.68957431
1994,CO,105088.80804015661
1994,CT,111790.15263225512
1994,DC,47573.877128340384
1994,DE,25356.432751247325
1994,FL,326682.5189675399
1994,GA,188165.9434836653
1994,HI,37441.37754614261
1994,IA,69354.29757914339
1994,ID,25636.704279561873
1994,IL,343364.7149453505
1994,IN,141862.30111928846
1994,KS,62858.68585111478
1994,KY,87685.3788726617
1994,LA,103730.05923700226
1994,MA,185091.2432701306
1994,MD,131659.7911804125
1994,ME,26417.02443359375
1994,MI,249017.1059295978
1994,MN,128274.53003740123
1994,MO,130227.73946467228
1994,MS,51676.35675731179
1994,MT,17172.05159036396
1994,NC,183005.85534793648
1994,ND,14329.035855158856
1994,NE,42880.7335243553
1994,NH,28979.056640625
1994,NJ,250749.17292130456
1994,NM,41694.19918575451
1994,NV,45325.70297408912
1994,NY,559095.105969868
1994,OH,281969.07899755426
1994,OK,67720.3818895076
1994,OR,75862.90656414325
1994,PA,298166.1971353859
1994,PR,39690.63
1994,RI,24204.57665225448
1994,SC,81441.74646217769
1994,SD,17242.531395166763
1994,TN,129616.20220045748
1994,TX,473064.6612535724
1994,UT,43124.3478991891
1994,VA,174439.187816256
1994,VT,13602.155617037704
1994,WA,150650.67148962716
1994,WI,127923.27872265101
1994,WV,34688.78210637913
1994,WY,14026.028262789592
1995,AK,25862.14870313605
1995,AL,96888.64079717515
1995,AR,54167.272456427825
1995,AZ,109895.06803508454
1995,CA,900285.6723438293
1995,CO,113335.46438602172
1995,CT,121768.89259713935
1995,DC,48021.52329829733
1995,DE,27416.5563732478
1995,FL,346437.2220862952
1995,GA,203580.8655862203
1995,HI,37809.83394237153
1995,IA,72296.07990259276
1995,ID,27960.172233714267
1995,IL,359626.56004824524
1995,IN,148858.67050996242
1995,KS,64822.77154259565
1995,KY,91956.296911219
1995,LA,111384.56574392704
1995,MA,195754.59587229055
1995,MD,137347.45939539847
1995,ME,28019.383222656248
1995,MI,254097.77416505123
1995,MN,135237.36684773618
1995,MO,139696.0731993689
1995,MS,55063.23010627556
1995,MT,17631.9992856398
1995,NC,195300.26155398716
1995,ND,14867.97750015854
1995,NE,44464.7106017192
1995,NH,31645.64609375
1995,NJ,262605.220318676
1995,NM,42155.30092078228
1995,NV,49415.48149936722
1995,NY,586614.8253877559
1995,OH,297584.52009142254
1995,OK,70308.10596633924
1995,OR,82062.30660581405
1995,PA,314639.6176533108
1995,PR,42647.331
1995,RI,25393.23862466543
1995,SC,86588.54884516682
1995,SD,17962.87719609583
1995,TN,136766.8215851026
1995,TX,504604.6243302802
1995,UT,47331.37909172111
1995,VA,183482.47503430108
1995,VT,13802.874108866297
1995,WA,154910.30786263713
1995,WI,133728.58430928274
1995,WV,36250.13830838052
1995,WY,14562.346898566479
1996,AK,27171.058582881393
1996,AL,101263.94369878522
1996,AR,57503.87804756939
1996,AZ,119518.11076950899
1996,CA,952243.0263976684
1996,CO,121755.07828480583
1996,CT,127598.8011890827
1996,DC,48764.881061164335
1996,DE,28835.79660251841
1996,FL,370362.7397484714
1996,GA,220187.86432173048
1996,HI,38172.28289735759
1996,IA,77912.74897579143
1996,ID,29121.402641662993
1996,IL,378427.3449235761
1996,IN,156723.02914319132
1996,KS,69126.28387165433
1996,KY,96660.40949432897
1996,LA,117237.19924819042
1996,MA,209928.21372024989
1996,MD,143226.7246990643
1996,ME,29117.14828125
1996,MI,267668.33705082186
1996,MN,146002.39095754828
1996,MO,147871.77441324314
1996,MS,57542.797939520475
1996,MT,18235.86934508291
1996,NC,205746.31750441107
1996,ND,16519.863694590655
1996,NE,48304.893982808026
1996,NH,34311.2427734375
1996,NJ,277280.0068534805
1996,NM,44541.827471273114
1996,NV,54602.9581862386
1996,NY,624366.5967718397
1996,OH,311168.64363826934
1996,OK,75722.68046299192
1996,OR,93887.55401527928
1996,PA,326714.96562800504
1996,PR,45340.835
1996,RI,26291.69215565164
1996,SC,90069.04170230967
1996,SD,19320.987718565688
1996,TN,142855.72466703178
1996,TX,548123.5120946689
1996,UT,52667.372926773736
1996,VA,194832.1502442237
1996,VT,14578.91936687685
1996,WA,166369.56884640767
1996,WI,141766.47166646284
1996,WV,37328.14596229928
1996,WY,15702.771655683131
1997,AK,25859.1
1997,AL,105381.4
1997,AR,59925.0
1997,AZ,132694.8
1997,CA,1068048.6
1997,CO,136624.4
1997,CT,138467.0
1997,DC,52581.6
1997,DE,33302.2
1997,FL,401744.2
1997,GA,242371.9
1997,HI,37701.7
1997,IA,82808.8
1997,ID,29699.5
1997,IL,416015.1
1997,IN,170924.6
1997,KS,74643.2
1997,KY,104878.1
1997,LA,116423.1
1997,MA,236435.6
1997,MD,159167.8
1997,ME,30574.2
1997,MI,299832.7
1997,MN,157345.9
1997,MO,163101.1
1997,MS,58517.2
1997,MT,19301.7
1997,NC,234571.9
1997,ND,15796.6
1997,NE,49880.0
1997,NH,38122.5
1997,NJ,307140.9
1997,NM,52575.6
1997,NV,60255.0
1997,NY,716104.7
1997,OH,343513.7
1997,OK,79293.7
1997,OR,101418.2
1997,PA,357525.6
1997,PR,48187.039
1997,RI,28963.2
1997,SC,97453.8
1997,SD,19062.3
1997,TN,154861.9
1997,TX,610659.8
1997,UT,57812.0
1997,VA,215419.2
1997,VT,15443.4
1997,WA,193769.5
1997,WI,153536.2
1997,WV,38781.2
1997,WY,14673.0
1998,AK,24387.8
1998,AL,110838.8
1998,AR,62852.0
1998,AZ,144393.2
1998,CA,1143672.5
1998,CO,149653.7
1998,CT,145299.2
1998,DC,54877.4
1998,DE,37170.6
1998,FL,428595.6
1998,GA,265146.4
1998,HI,37503.0
1998,IA,84629.7
1998,ID,31352.7
1998,IL,436533.4
1998,IN,185336.3
1998,KS,78242.3
1998,KY,110020.1
1998,LA,120228.8
1998,MA,247686.8
1998,MD,169360.1
1998,ME,32412.8
1998,MI,311088.2
1998,MN,167867.4
1998,MO,170122.2
1998,MS,61332.3
1998,MT,20414.4
1998,NC,246721.8
1998,ND,16842.7
1998,NE,51849.9
1998,NH,40747.7
1998,NJ,318104.0
1998,NM,50573.1
1998,NV,65332.2
1998,NY,744958.9
1998,OH,361479.3
1998,OK,81778.6
1998,OR,105016.4
1998,PA,373515.0
1998,PR,54086.4
1998,RI,30835.3
1998,SC,103688.6
1998,SD,20257.8
1998,TN,167783.0
1998,TX,648243.1
1998,UT,62070.1
1998,VA,232569.9
1998,VT,16197.7
1998,WA,209222.5
1998,WI,163021.5
1998,WV,40258.9
1998,WY,14833.2
1999,AK,24920.4
1999,AL,116514.3
1999,AR,67279.0
1999,AZ,156442.1
1999,CA,1239773.5
1999,CO,162411.7
1999,CT,152093.7
1999,DC,58948.8
1999,DE,40446.5
1999,FL,457607.0
1999,GA,289048.9
1999,HI,38970.4
1999,IA,87774.3
1999,ID,34512.8
1999,IL,459971.6
1999,IN,193659.9
1999,KS,81609.7
1999,KY,115592.7
1999,LA,125667.3
1999,MA,262868.8
1999,MD,179779.6
1999,ME,34714.7
1999,MI,337150.2
1999,MN,176780.4
1999,MO,178215.9
1999,MS,64276.5
1999,MT,20815.1
1999,NC,264924.3
1999,ND,17083.7
1999,NE,53714.2
1999,NH,42292.4
1999,NJ,334966.4
1999,NM,52801.9
1999,NV,71825.3
1999,NY,794009.5
1999,OH,375797.2
1999,OK,84785.6
1999,OR,107513.2
1999,PA,391136.1
1999,PR,57841.0
1999,RI,32340.0
1999,SC,110312.9
1999,SD,21181.8
1999,TN,176467.2
1999,TX,683347.4
1999,UT,65773.4
1999,VA,250171.3
1999,VT,17314.8
1999,WA,229678.9
1999,WI,172928.5
1999,WV,41942.2
1999,WY,15685.7
2000,AK,26934.0
2000,AL,120522.6
2000,AR,69176.3
2000,AZ,165735.6
2000,CA,1354791.3
2000,CO,179303.3
2000,CT,165523.4
2000,DC,61267.7
2000,DE,43559.6
2000,FL,490094.4
2000,GA,305323.7
2000,HI,41089.4
2000,IA,93125.6
2000,ID,38344.1
2000,IL,486089.7
2000,IN,204147.3
2000,KS,85990.5
2000,KY,114549.6
2000,LA,132375.8
2000,MA,287091.4
2000,MD,191430.2
2000,ME,37222.0
2000,MI,351879.5
2000,MN,192389.5
2000,MO,187012.8
2000,MS,66051.5
2000,MT,21935.4
2000,NC,277556.1
2000,ND,18115.1
2000,NE,56582.7
2000,NH,45604.9
2000,NJ,360530.4
2000,NM,55002.2
2000,NV,77181.5
2000,NY,839853.0
2000,OH,391032.3
2000,OK,91645.7
2000,OR,117057.2
2000,PA,409330.2
2000,PR,61701.8
2000,RI,34608.5
2000,SC,115332.7
2000,SD,22866.7
2000,TN,182209.7
2000,TX,742161.5
2000,UT,70056.3
2000,VA,268608.7
2000,VT,18492.9
2000,WA,237594.0
2000,WI,180883.1
2000,WV,42620.7
2000,WY,17153.7
2001,AK,28660.9
2001,AL,123534.5
2001,AR,71099.6
2001,AZ,172899.6
2001,CA,1373270.8
2001,CO,185848.9
2001,CT,171124.4
2001,DC,65620.0
2001,DE,46373.8
2001,FL,519140.7
2001,GA,316872.7
2001,HI,42500.2
2001,IA,94922.6
2001,ID,37740.9
2001,IL,499618.4
2001,IN,205325.1
2001,KS,88869.7
2001,KY,117767.9
2001,LA,138204.3
2001,MA,294876.4
2001,MD,205276.0
2001,ME,38925.7
2001,MI,349127.5
2001,MN,196869.4
2001,MO,190388.7
2001,MS,67750.2
2001,MT,22798.0
2001,NC,287317.1
2001,ND,18976.9
2001,NE,59634.3
2001,NH,47037.3
2001,NJ,372819.2
2001,NM,55660.2
2001,NV,80968.6
2001,NY,876285.2
2001,OH,395864.2
2001,OK,97505.3
2001,OR,117002.4
2001,PA,428463.7
2001,PR,69208.4
2001,RI,35940.1
2001,SC,119355.2
2001,SD,23626.9
2001,TN,185917.2
2001,TX,780206.2
2001,UT,73042.5
2001,VA,285663.4
2001,VT,19467.1
2001,WA,237978.2
2001,WI,188662.8
2001,WV,44105.1
2001,WY,18741.7
2002,AK,29884.5
2002,AL,128380.9
2002,AR,74453.1
2002,AZ,180844.5
2002,CA,1419321.8
2002,CO,189604.6
2002,CT,172929.7
2002,DC,70078.0
2002,DE,45865.4
2002,FL,553359.9
2002,GA,326017.9
2002,HI,44949.5
2002,IA,98669.4
2002,ID,38990.7
2002,IL,511485.9
2002,IN,213419.6
2002,KS,91359.0
2002,KY,122731.2
2002,LA,140082.8
2002,MA,299915.8
2002,MD,217001.4
2002,ME,40664.1
2002,MI,363372.1
2002,MN,204061.1
2002,MO,197399.0
2002,MS,69704.9
2002,MT,23886.0
2002,NC,297653.0
2002,ND,20195.6
2002,NE,61569.5
2002,NH,49109.6
2002,NJ,385045.6
2002,NM,57718.3
2002,NV,85541.0
2002,NY,885386.2
2002,OH,411191.1
2002,OK,99916.9
2002,OR,120556.1
2002,PA,440887.5
2002,PR,71623.5
2002,RI,37891.2
2002,SC,124765.2
2002,SD,26343.5
2002,TN,195386.1
2002,TX,796357.3
2002,UT,76289.4
2002,VA,294929.1
2002,VT,20383.5
2002,WA,245629.8
2002,WI,195541.5
2002,WV,45627.4
2002,WY,19160.8
2003,AK,32115.8
2003,AL,135212.6
2003,AR,79009.7
2003,AZ,194318.0
2003,CA,1498578.0
2003,CO,195137.6
2003,CT,177814.8
2003,DC,74047.0
2003,DE,47839.6
2003,FL,590284.8
2003,GA,339540.5
2003,HI,48420.7
2003,IA,105329.7
2003,ID,40778.6
2003,IL,528577.0
2003,IN,225349.3
2003,KS,95236.3
2003,KY,128289.6
2003,LA,155198.7
2003,MA,309736.1
2003,MD,226803.4
2003,ME,42493.4
2003,MI,376123.8
2003,MN,215975.1
2003,MO,206005.2
2003,MS,74418.4
2003,MT,25781.1
2003,NC,310200.3
2003,ND,22129.9
2003,NE,66471.7
2003,NH,51609.7
2003,NJ,399996.5
2003,NM,62867.9
2003,NV,91365.0
2003,NY,908535.2
2003,OH,425530.7
2003,OK,106175.1
2003,OR,126822.1
2003,PA,460478.3
2003,PR,74827.4
2003,RI,39787.1
2003,SC,131509.1
2003,SD,27305.0
2003,TN,204665.9
2003,TX,840860.8
2003,UT,79504.7
2003,VA,311093.1
2003,VT,21398.5
2003,WA,254720.2
2003,WI,203814.0
2003,WV,47230.4
2003,WY,21199.0
2004,AK,35389.5
2004,AL,148379.1
2004,AR,85928.6
2004,AZ,207246.3
2004,CA,1585081.4
2004,CO,203743.3
2004,CT,194722.9
2004,DC,80600.7
2004,DE,51674.1
2004,FL,647041.8
2004,GA,364530.1
2004,HI,52625.7
2004,IA,117149.8
2004,ID,44732.9
2004,IL,560079.8
2004,IN,239278.5
2004,KS,98913.7
2004,KY,135694.5
2004,LA,170999.6
2004,MA,324919.0
2004,MD,243449.8
2004,ME,45233.1
2004,MI,388764.6
2004,MN,231949.4
2004,MO,216977.5
2004,MS,78680.1
2004,MT,28138.8
2004,NC,329017.7
2004,ND,23209.6
2004,NE,70445.4
2004,NH,54545.7
2004,NJ,415490.8
2004,NM,70593.4
2004,NV,104132.0
2004,NY,958565.3
2004,OH,447813.3
2004,OK,114237.5
2004,OR,136495.9
2004,PA,486384.5
2004,PR,80322.313
2004,RI,42578.2
2004,SC,136679.9
2004,SD,29380.9
2004,TN,219862.4
2004,TX,921230.7
2004,UT,86766.7
2004,VA,331815.8
2004,VT,22986.3
2004,WA,267423.9
2004,WI,216370.4
2004,WV,49865.9
2004,WY,23418.1
2005,AK,40459.9
2005,AL,158677.3
2005,AR,91133.4
2005,AZ,227997.8
2005,CA,1698858.4
2005,CO,220803.8
2005,CT,204504.6
2005,DC,85414.5
2005,DE,52048.6
2005,FL,704890.3
2005,GA,388707.2
2005,HI,57211.8
2005,IA,122866.1
2005,ID,48805.1
2005,IL,589153.7
2005,IN,247428.3
2005,KS,105343.9
2005,KY,144914.9
2005,LA,199314.2
2005,MA,340637.8
2005,MD,261795.3
2005,ME,47028.1
2005,MI,402828.8
2005,MN,244635.4
2005,MO,227594.6
2005,MS,82991.6
2005,MT,30823.7
2005,NC,354798.5
2005,ND,24572.0
2005,NE,74886.7
2005,NH,56914.6
2005,NJ,436064.4
2005,NM,74130.9
2005,NV,117165.1
2005,NY,1009851.0
2005,OH,470179.5
2005,OK,125961.4
2005,OR,143556.3
2005,PA,510763.9
2005,PR,83914.5213
2005,RI,44413.3
2005,SC,145195.8
2005,SD,31104.3
2005,TN,231339.0
2005,TX,1003745.9
2005,UT,95512.0
2005,VA,357427.0
2005,VT,23763.0
2005,WA,293402.0
2005,WI,226937.5
2005,WV,53814.3
2005,WY,27530.2
2006,AK,44951.7
2006,AL,166048.2
2006,AR,96073.7
2006,AZ,246061.1
2006,CA,1812161.6
2006,CO,232853.6
2006,CT,219812.2
2006,DC,88350.9
2006,DE,55567.7
2006,FL,749925.0
2006,GA,405664.2
2006,HI,60848.0
2006,IA,127670.8
2006,ID,51099.0
2006,IL,624068.1
2006,IN,259030.3
2006,KS,113831.8
2006,KY,153009.8
2006,LA,207249.8
2006,MA,358418.3
2006,MD,273791.0
2006,ME,48889.3
2006,MI,402537.3
2006,MN,252357.6
2006,MO,235816.9
2006,MS,87596.7
2006,MT,33088.0
2006,NC,388012.1
2006,ND,26406.5
2006,NE,79287.5
2006,NH,60152.7
2006,NJ,457681.5
2006,NM,78008.2
2006,NV,126613.4
2006,NY,1072271.8
2006,OH,482904.0
2006,OK,138352.3
2006,OR,153779.6
2006,PA,528771.2
2006,PR,87276.1644
2006,RI,47165.3
2006,SC,153453.4
2006,SD,32559.3
2006,TN,243104.4
2006,TX,1108236.5
2006,UT,106787.1
2006,VA,376429.4
2006,VT,24507.1
2006,WA,314190.8
2006,WI,237571.9
2006,WV,57204.1
2006,WY,32692.2
2007,AK,49456.4
2007,AL,172247.0
2007,AR,98325.0
2007,AZ,261152.8
2007,CA,1900220.4
2007,CO,248571.6
2007,CT,232626.8
2007,DC,94013.8
2007,DE,56705.6
2007,FL,781947.3
2007,GA,419384.8
2007,HI,64106.0
2007,IA,137590.2
2007,ID,53712.4
2007,IL,649307.4
2007,IN,273340.8
2007,KS,123608.9
2007,KY,156900.0
2007,LA,203771.3
2007,MA,377985.6
2007,MD,282618.2
2007,ME,50291.3
2007,MI,410613.0
2007,MN,261250.7
2007,MO,244085.3
2007,MS,91876.5
2007,MT,36116.1
2007,NC,402188.3
2007,ND,29044.6
2007,NE,84291.9
2007,NH,61984.8
2007,NJ,474539.6
2007,NM,81100.3
2007,NV,132045.4
2007,NY,1116265.3
2007,OH,497600.1
2007,OK,146582.4
2007,OR,159676.2
2007,PA,563238.6
2007,PR,89524.1316
2007,RI,47490.1
2007,SC,162476.3
2007,SD,35282.6
2007,TN,248261.6
2007,TX,1198565.0
2007,UT,115180.7
2007,VA,391595.5
2007,VT,25025.2
2007,WA,341712.3
2007,WI,245837.7
2007,WV,59480.4
2007,WY,36912.8
2008,AK,55246.7
2008,AL,174665.6
2008,AR,100206.7
2008,AZ,261005.8
2008,CA,1946241.5
2008,CO,257606.1
2008,CT,236110.7
2008,DC,99240.4
2008,DE,55250.8
2008,FL,767357.8
2008,GA,416303.5
2008,HI,65545.5
2008,IA,137749.2
2008,ID,56203.6
2008,IL,649677.3
2008,IN,277774.5
2008,KS,129223.2
2008,KY,160700.2
2008,LA,213803.5
2008,MA,387923.4
2008,MD,292908.3
2008,ME,51001.9
2008,MI,391633.6
2008,MN,268771.5
2008,MO,256431.1
2008,MS,95179.3
2008,MT,37028.0
2008,NC,420707.2
2008,ND,32027.7
2008,NE,86146.6
2008,NH,62095.3
2008,NJ,493289.4
2008,NM,84339.7
2008,NV,130570.9
2008,NY,1107860.2
2008,OH,500916.4
2008,OK,161609.0
2008,OR,164122.9
2008,PA,586886.6
2008,PR,93639.3
2008,RI,47138.9
2008,SC,164471.2
2008,SD,36939.3
2008,TN,255546.7
2008,TX,1253142.0
2008,UT,116949.2
2008,VA,402157.8
2008,VT,26140.4
2008,WA,352460.7
2008,WI,246493.0
2008,WV,62978.7
2008,WY,42694.6
2009,AK,50165.9
2009,AL,170876.5
2009,AR,97783.9
2009,AZ,244862.2
2009,CA,1879809.5
2009,CO,249817.1
2009,CT,231628.0
2009,DC,100430.1
2009,DE,57729.9
2009,FL,739322.4
2009,GA,409876.2
2009,HI,64464.3
2009,IA,137094.3
2009,ID,54507.9
2009,IL,645843.2
2009,IN,264925.0
2009,KS,126049.7
2009,KY,157440.1
2009,LA,206111.5
2009,MA,388963.9
2009,MD,298282.8
2009,ME,51451.2
2009,MI,371707.0
2009,MN,262628.8
2009,MO,254306.2
2009,MS,92378.0
2009,MT,35880.0
2009,NC,413096.8
2009,ND,32310.4
2009,NE,87325.5
2009,NH,63052.2
2009,NJ,481452.7
2009,NM,82641.3
2009,NV,122471.2
2009,NY,1155492.3
2009,OH,484407.1
2009,OK,147332.4
2009,OR,159330.4
2009,PA,581219.9
2009,PR,96385.6
2009,RI,47647.2
2009,SC,162380.4
2009,SD,36732.1
2009,TN,252940.7
2009,TX,1179168.1
2009,UT,113834.8
2009,VA,409935.3
2009,VT,26220.0
2009,WA,349945.4
2009,WI,246323.8
2009,WV,64040.1
2009,WY,36282.2
2010,AK,53654.0
2010,AL,177510.7
2010,AR,101699.3
2010,AZ,250527.0
2010,CA,1938603.3
2010,CO,256771.8
2010,CT,234022.2
2010,DC,106128.6
2010,DE,58132.2
2010,FL,752998.4
2010,GA,419013.1
2010,HI,66739.3
2010,IA,142497.7
2010,ID,56086.2
2010,IL,663929.0
2010,IN,284685.8
2010,KS,129235.7
2010,KY,166656.3
2010,LA,226555.6
2010,MA,409270.0
2010,MD,313930.5
2010,ME,52802.5
2010,MI,393179.6
2010,MN,274649.2
2010,MO,262013.4
2010,MS,94788.3
2010,MT,38080.3
2010,NC,422282.2
2010,ND,35651.8
2010,NE,91940.7
2010,NH,65310.8
2010,NJ,491229.0
2010,NM,84862.6
